"P002050","P002051","P002052","P002053","P002054","P002055","P002056","P002057","P002058","P002059","P002060","P002061","P002062","P002063","P002064","P002065","P002066","P002067","P002068","P002069","P002070","P002071","P002072","P002073","P002049","GEO_ID","P002001","P002002","P002003","P002004","P002005","P002006","P002007","P002008","P002009","P002010","P002011","P002012","P002013","P002014","P002015","P002016","P002017","P002018","P002019","P002020","P002021","P002022","P002023","P002024","P002025","P002026","P002027","P002028","P002029","P002030","P002031","P002032","P002033","P002034","P002035","P002036","P002037","P002038","P002039","P002040","P002041","P002042","P002043","P002044","P002045","P002046","P002047","P002048","NAME"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037102107","3851","1039","2812","2727","2310","102","15","278","13","9","85","74","7","17","30","5","7","1","0","0","0","1","0","0","6","0","0","11","2","0","1","0","3","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1021.07, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037103101","2670","566","2104","2035","1761","18","8","238","3","7","69","68","11","9","42","3","1","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1031.01, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037103102","4751","1351","3400","3289","2646","28","14","586","4","11","111","107","2","20","72","3","8","0","1","0","0","0","0","0","0","1","0","4","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1031.02, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037103200","6150","1786","4364","4223","3462","260","23","452","5","21","141","126","15","28","60","4","5","4","3","0","0","0","1","0","2","4","0","15","6","0","0","0","0","0","0","8","0","0","1","0","0","0","0","0","0","0","0","0","Census Tract 1032, Los Angeles County, California"
"3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1400000US06037103300","3819","744","3075","2984","2710","35","11","221","2","5","91","83","7","14","46","5","5","3","0","0","0","3","0","0","0","0","0","5","3","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","Census Tract 1033, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1400000US06037103400","6143","1540","4603","4408","3786","88","22","494","3","15","195","180","26","19","103","6","5","3","4","0","1","2","0","0","9","2","0","14","5","0","1","0","2","0","0","4","2","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1034, Los Angeles County, California"
"0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","3","1400000US06037104103","4085","2918","1167","1120","307","513","3","280","1","16","47","42","10","2","10","0","0","9","8","0","0","0","0","0","3","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1041.03, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037104105","5412","4472","940","890","223","346","4","302","6","9","50","46","9","4","16","1","1","6","2","0","5","1","0","0","0","1","0","4","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1041.05, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037104108","5256","4169","1087","1035","253","583","7","183","0","9","52","46","13","4","7","0","1","14","3","1","0","0","0","0","0","3","0","6","4","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1041.08, Los Angeles County, California"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1400000US06037104124","4175","2122","2053","1995","1174","566","15","227","8","5","58","48","8","7","17","1","3","4","4","0","0","1","0","0","3","0","0","8","5","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1041.24, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1400000US06037104201","4780","4293","487","452","50","387","5","6","0","4","35","26","6","0","2","0","0","2","8","0","5","0","0","1","2","0","0","8","3","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1042.01, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037104203","5210","4708","502","484","67","319","9","63","10","16","18","16","5","0","7","0","0","0","0","1","0","0","0","0","1","2","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1042.03, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037104204","3375","2480","895","871","344","250","2","269","2","4","24","23","1","3","9","0","0","0","0","0","0","3","0","0","7","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1042.04, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037104310","4921","4624","297","286","81","191","3","7","0","4","11","8","0","2","1","0","2","0","1","0","0","0","0","0","0","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","Census Tract 1043.10, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037104320","5998","5464","534","513","67","349","11","82","0","4","21","20","7","3","3","0","0","1","4","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Census Tract 1043.20, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037104401","3357","3248","109","106","71","2","12","19","1","1","3","3","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1044.01, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037104403","3282","3159","123","121","58","16","4","31","0","12","2","2","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1044.03, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037104404","3236","3112","124","115","57","32","6","15","0","5","9","9","3","1","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1044.04, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037104500","3293","3137","156","155","107","20","1","24","2","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1045, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037104610","3672","3574","98","89","50","13","6","12","5","3","9","9","4","0","1","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1046.10, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037104620","3539","3420","119","113","72","9","18","12","0","2","6","6","1","1","1","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1046.20, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037104701","4208","4018","190","180","36","120","3","11","0","10","10","9","1","0","2","0","0","4","1","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1047.01, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037104703","2397","2264","133","119","69","43","1","6","0","0","14","13","1","1","6","0","1","0","0","4","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1047.03, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037104704","4219","3238","981","956","233","554","10","142","12","5","25","23","8","3","6","0","0","2","0","0","0","0","0","1","3","0","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1047.04, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037104810","5328","4996","332","317","158","28","3","105","19","4","15","14","0","1","9","0","2","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1048.10, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037104821","3514","3269","245","233","118","40","7","62","0","6","12","11","0","3","4","0","0","0","3","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1048.21, Los Angeles County, California"
"2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1400000US06037104822","2277","1998","279","265","75","24","1","162","0","3","14","11","0","3","5","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1048.22, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037106010","3152","2115","1037","984","621","165","9","180","2","7","53","42","2","6","21","0","3","5","0","0","0","1","0","0","4","0","0","11","9","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","Census Tract 1060.10, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037106020","5557","4241","1316","1249","903","127","13","187","4","15","67","64","21","9","13","0","5","2","5","0","0","2","0","0","6","1","0","3","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1060.20, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037106111","4334","2552","1782","1724","1194","198","13","309","1","9","58","56","11","10","19","2","5","8","0","0","0","0","0","0","1","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1061.11, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037106112","5969","4092","1877","1800","1007","215","16","540","6","16","77","73","10","23","25","0","2","0","4","0","3","1","1","0","2","2","0","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","Census Tract 1061.12, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037106113","3493","2670","823","805","550","75","19","155","4","2","18","16","1","1","2","0","0","2","5","0","0","0","0","0","1","4","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1061.13, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037106114","5880","4995","885","817","439","213","21","133","1","10","68","60","15","6","26","0","2","6","0","0","1","0","0","0","4","0","0","8","4","0","0","0","1","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","Census Tract 1061.14, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037106403","3825","3401","424","401","296","44","4","51","0","6","23","22","4","1","11","5","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1064.03, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037106405","3966","3165","801","780","400","234","12","128","1","5","21","16","3","1","8","0","4","0","0","0","0","0","0","0","0","0","0","5","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1064.05, Los Angeles County, California"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1400000US06037106406","4962","3514","1448","1402","934","130","29","301","2","6","46","42","7","8","10","3","7","0","1","1","1","0","1","1","1","1","0","3","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1064.06, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037106407","2933","2235","698","678","410","189","4","67","6","2","20","18","4","4","1","0","2","1","0","4","0","0","0","0","1","0","1","2","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1064.07, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037106408","3463","3005","458","432","156","113","5","149","0","9","26","24","9","3","1","0","1","0","0","1","1","0","0","0","0","8","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1064.08, Los Angeles County, California"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1400000US06037106510","5108","3261","1847","1778","1027","345","15","375","3","13","69","62","12","9","28","0","1","3","3","0","0","0","0","0","6","0","0","6","3","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","Census Tract 1065.10, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037106520","5837","4983","854","821","662","66","20","70","0","3","33","27","11","6","6","1","0","1","1","0","0","1","0","0","0","0","0","6","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1065.20, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037106603","2979","475","2504","2370","1662","96","7","596","0","9","134","125","13","10","78","3","1","0","5","2","0","1","0","0","1","11","0","9","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1066.03, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037106604","5020","4288","732","711","401","105","18","175","6","6","21","20","3","4","7","0","0","1","0","0","1","0","0","0","0","1","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1066.04, Los Angeles County, California"
"2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1400000US06037106641","2317","301","2016","1957","1518","55","6","360","1","17","59","49","4","4","35","1","1","0","0","0","1","0","0","0","2","1","0","8","1","0","0","0","4","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1066.41, Los Angeles County, California"
