"GEO_ID","B25064_001E","B25064_001M","NAME"
"1400000US06037106646","1436","276","Census Tract 1066.46, Los Angeles County, California"
"1400000US06037106648","888","161","Census Tract 1066.48, Los Angeles County, California"
"1400000US06037106649","1632","229","Census Tract 1066.49, Los Angeles County, California"
"1400000US06037107010","1327","252","Census Tract 1070.10, Los Angeles County, California"
"1400000US06037107020","1452","425","Census Tract 1070.20, Los Angeles County, California"
"1400000US06037108101","2,000+","***","Census Tract 1081.01, Los Angeles County, California"
"1400000US06037108102","2,000+","***","Census Tract 1081.02, Los Angeles County, California"
"1400000US06037108103","2,000+","***","Census Tract 1081.03, Los Angeles County, California"
"1400000US06037108104","-","**","Census Tract 1081.04, Los Angeles County, California"
"1400000US06037108201","2,000+","***","Census Tract 1082.01, Los Angeles County, California"
"1400000US06037108202","1842","340","Census Tract 1082.02, Los Angeles County, California"
"1400000US06037109100","1260","1933","Census Tract 1091, Los Angeles County, California"
"1400000US06037109200","1472","220","Census Tract 1092, Los Angeles County, California"
"1400000US06037109300","2,000+","***","Census Tract 1093, Los Angeles County, California"
"1400000US06037109400","1702","146","Census Tract 1094, Los Angeles County, California"
"1400000US06037109500","1113","67","Census Tract 1095, Los Angeles County, California"
"1400000US06037109601","1693","165","Census Tract 1096.01, Los Angeles County, California"
"1400000US06037109603","1160","189","Census Tract 1096.03, Los Angeles County, California"
"1400000US06037109604","754","52","Census Tract 1096.04, Los Angeles County, California"
"1400000US06037109700","2,000+","***","Census Tract 1097, Los Angeles County, California"
"1400000US06037109800","1379","192","Census Tract 1098, Los Angeles County, California"
"1400000US06037111100","1328","200","Census Tract 1111, Los Angeles County, California"
"1400000US06037111201","1993","553","Census Tract 1112.01, Los Angeles County, California"
"1400000US06037111202","1555","241","Census Tract 1112.02, Los Angeles County, California"
"1400000US06037111204","1200","1535","Census Tract 1112.04, Los Angeles County, California"
"1400000US06037111205","1693","85","Census Tract 1112.05, Los Angeles County, California"
"1400000US06037111206","2,000+","***","Census Tract 1112.06, Los Angeles County, California"
"1400000US06037111301","1265","95","Census Tract 1113.01, Los Angeles County, California"
"1400000US06037111302","1155","89","Census Tract 1113.02, Los Angeles County, California"
"1400000US06037111400","1146","123","Census Tract 1114, Los Angeles County, California"
"1400000US06037113101","1893","395","Census Tract 1131.01, Los Angeles County, California"
"1400000US06037113102","-","**","Census Tract 1131.02, Los Angeles County, California"
"1400000US06037113211","2,000+","***","Census Tract 1132.11, Los Angeles County, California"
"1400000US06037113212","1672","241","Census Tract 1132.12, Los Angeles County, California"
"1400000US06037113213","1544","234","Census Tract 1132.13, Los Angeles County, California"
"1400000US06037113231","1219","159","Census Tract 1132.31, Los Angeles County, California"
"1400000US06037113232","1532","717","Census Tract 1132.32, Los Angeles County, California"
"1400000US06037113233","1156","62","Census Tract 1132.33, Los Angeles County, California"
"1400000US06037113234","1100","107","Census Tract 1132.34, Los Angeles County, California"
"1400000US06037113235","1375","414","Census Tract 1132.35, Los Angeles County, California"
"1400000US06037113237","1899","371","Census Tract 1132.37, Los Angeles County, California"
"1400000US06037113301","2,000+","***","Census Tract 1133.01, Los Angeles County, California"
"1400000US06037113303","1206","509","Census Tract 1133.03, Los Angeles County, California"
"1400000US06037113321","1203","73","Census Tract 1133.21, Los Angeles County, California"
"1400000US06037113322","2,000+","***","Census Tract 1133.22, Los Angeles County, California"
"1400000US06037113401","1543","499","Census Tract 1134.01, Los Angeles County, California"
"1400000US06037113421","1209","73","Census Tract 1134.21, Los Angeles County, California"
"1400000US06037113422","1112","64","Census Tract 1134.22, Los Angeles County, California"
"1400000US06037115101","794","2385","Census Tract 1151.01, Los Angeles County, California"
"1400000US06037115103","1200","1123","Census Tract 1151.03, Los Angeles County, California"
"1400000US06037115104","1272","107","Census Tract 1151.04, Los Angeles County, California"
"1400000US06037115201","1138","28","Census Tract 1152.01, Los Angeles County, California"
"1400000US06037115202","1217","73","Census Tract 1152.02, Los Angeles County, California"
"1400000US06037115301","1461","173","Census Tract 1153.01, Los Angeles County, California"
"1400000US06037115302","1054","141","Census Tract 1153.02, Los Angeles County, California"
"1400000US06037115401","1005","88","Census Tract 1154.01, Los Angeles County, California"
"1400000US06037115403","1069","104","Census Tract 1154.03, Los Angeles County, California"
"1400000US06037115404","1144","91","Census Tract 1154.04, Los Angeles County, California"
"1400000US06037117101","1317","89","Census Tract 1171.01, Los Angeles County, California"
"1400000US06037117102","879","550","Census Tract 1171.02, Los Angeles County, California"
"1400000US06037117201","949","100","Census Tract 1172.01, Los Angeles County, California"
"1400000US06037117202","1837","245","Census Tract 1172.02, Los Angeles County, California"
"1400000US06037117301","2,000+","***","Census Tract 1173.01, Los Angeles County, California"
"1400000US06037117302","1305","168","Census Tract 1173.02, Los Angeles County, California"
"1400000US06037117303","1700","191","Census Tract 1173.03, Los Angeles County, California"
"1400000US06037117404","950","162","Census Tract 1174.04, Los Angeles County, California"
"1400000US06037117405","957","59","Census Tract 1174.05, Los Angeles County, California"
"1400000US06037117407","966","148","Census Tract 1174.07, Los Angeles County, California"
"1400000US06037117408","942","104","Census Tract 1174.08, Los Angeles County, California"
"1400000US06037117510","985","78","Census Tract 1175.10, Los Angeles County, California"
"1400000US06037117520","1020","103","Census Tract 1175.20, Los Angeles County, California"
"1400000US06037117530","1062","56","Census Tract 1175.30, Los Angeles County, California"
"1400000US06037119001","1675","352","Census Tract 1190.01, Los Angeles County, California"
"1400000US06037119002","1389","112","Census Tract 1190.02, Los Angeles County, California"
"1400000US06037119201","1657","204","Census Tract 1192.01, Los Angeles County, California"
"1400000US06037119202","1191","226","Census Tract 1192.02, Los Angeles County, California"
"1400000US06037119310","1282","330","Census Tract 1193.10, Los Angeles County, California"
"1400000US06037119320","1348","60","Census Tract 1193.20, Los Angeles County, California"
"1400000US06037119340","1090","91","Census Tract 1193.40, Los Angeles County, California"
"1400000US06037119341","1091","140","Census Tract 1193.41, Los Angeles County, California"
"1400000US06037119342","1433","209","Census Tract 1193.42, Los Angeles County, California"
"1400000US06037119400","2,000+","***","Census Tract 1194, Los Angeles County, California"
"1400000US06037119700","1609","460","Census Tract 1197, Los Angeles County, California"
"1400000US06037119800","1094","318","Census Tract 1198, Los Angeles County, California"
"1400000US06037119900","1358","186","Census Tract 1199, Los Angeles County, California"
"1400000US06037120010","1015","153","Census Tract 1200.10, Los Angeles County, California"
"1400000US06037120020","984","58","Census Tract 1200.20, Los Angeles County, California"
"1400000US06037120030","931","124","Census Tract 1200.30, Los Angeles County, California"
"1400000US06037120103","972","133","Census Tract 1201.03, Los Angeles County, California"
"1400000US06037120104","1000","132","Census Tract 1201.04, Los Angeles County, California"
"1400000US06037120105","670","111","Census Tract 1201.05, Los Angeles County, California"
"1400000US06037120106","983","53","Census Tract 1201.06, Los Angeles County, California"
"1400000US06037120107","938","50","Census Tract 1201.07, Los Angeles County, California"
"1400000US06037120108","1214","175","Census Tract 1201.08, Los Angeles County, California"
"1400000US06037120300","1658","551","Census Tract 1203, Los Angeles County, California"
"1400000US06037120400","1064","82","Census Tract 1204, Los Angeles County, California"
"1400000US06037121010","1368","459","Census Tract 1210.10, Los Angeles County, California"
"1400000US06037121020","1130","67","Census Tract 1210.20, Los Angeles County, California"
"1400000US06037121101","972","78","Census Tract 1211.01, Los Angeles County, California"
"1400000US06037121102","1226","294","Census Tract 1211.02, Los Angeles County, California"
"1400000US06037121210","940","92","Census Tract 1212.10, Los Angeles County, California"
"1400000US06037121221","1417","478","Census Tract 1212.21, Los Angeles County, California"
"1400000US06037121222","1082","172","Census Tract 1212.22, Los Angeles County, California"
"1400000US06037121600","1971","883","Census Tract 1216, Los Angeles County, California"
"1400000US06037121801","1101","85","Census Tract 1218.01, Los Angeles County, California"
"1400000US06037121802","1449","291","Census Tract 1218.02, Los Angeles County, California"
"1400000US06037121900","916","365","Census Tract 1219, Los Angeles County, California"
"1400000US06037122000","1162","396","Census Tract 1220, Los Angeles County, California"
"1400000US06037122120","1096","105","Census Tract 1221.20, Los Angeles County, California"
"1400000US06037122121","1095","133","Census Tract 1221.21, Los Angeles County, California"
"1400000US06037122122","855","61","Census Tract 1221.22, Los Angeles County, California"
"1400000US06037122200","1086","186","Census Tract 1222, Los Angeles County, California"
"1400000US06037122410","969","46","Census Tract 1224.10, Los Angeles County, California"
"1400000US06037122420","999","79","Census Tract 1224.20, Los Angeles County, California"
"1400000US06037123010","966","39","Census Tract 1230.10, Los Angeles County, California"
"1400000US06037123020","861","133","Census Tract 1230.20, Los Angeles County, California"
"1400000US06037123103","984","56","Census Tract 1231.03, Los Angeles County, California"
"1400000US06037123104","1023","85","Census Tract 1231.04, Los Angeles County, California"
"1400000US06037123203","902","44","Census Tract 1232.03, Los Angeles County, California"
"1400000US06037123204","947","48","Census Tract 1232.04, Los Angeles County, California"
"1400000US06037123205","937","75","Census Tract 1232.05, Los Angeles County, California"
"1400000US06037123206","859","58","Census Tract 1232.06, Los Angeles County, California"
"1400000US06037123301","984","130","Census Tract 1233.01, Los Angeles County, California"
"1400000US06037123303","998","67","Census Tract 1233.03, Los Angeles County, California"
"1400000US06037123304","952","63","Census Tract 1233.04, Los Angeles County, California"
"1400000US06037123410","849","34","Census Tract 1234.10, Los Angeles County, California"
"1400000US06037123420","885","73","Census Tract 1234.20, Los Angeles County, California"
"1400000US06037123510","938","35","Census Tract 1235.10, Los Angeles County, California"
"1400000US06037123520","963","153","Census Tract 1235.20, Los Angeles County, California"
"1400000US06037123601","1126","64","Census Tract 1236.01, Los Angeles County, California"
"1400000US06037123602","1024","89","Census Tract 1236.02, Los Angeles County, California"
"1400000US06037123700","1120","69","Census Tract 1237, Los Angeles County, California"
"1400000US06037123800","1198","92","Census Tract 1238, Los Angeles County, California"
"1400000US06037123901","1129","61","Census Tract 1239.01, Los Angeles County, California"
"1400000US06037123902","1229","244","Census Tract 1239.02, Los Angeles County, California"
"1400000US06037124000","1079","112","Census Tract 1240, Los Angeles County, California"
"1400000US06037124102","1069","80","Census Tract 1241.02, Los Angeles County, California"
"1400000US06037124103","943","49","Census Tract 1241.03, Los Angeles County, California"
"1400000US06037124104","881","68","Census Tract 1241.04, Los Angeles County, California"
"1400000US06037124105","1115","150","Census Tract 1241.05, Los Angeles County, California"
"1400000US06037124201","997","121","Census Tract 1242.01, Los Angeles County, California"
"1400000US06037124203","1007","83","Census Tract 1242.03, Los Angeles County, California"
"1400000US06037124204","968","80","Census Tract 1242.04, Los Angeles County, California"
"1400000US06037124300","1095","79","Census Tract 1243, Los Angeles County, California"
"1400000US06037124400","1173","99","Census Tract 1244, Los Angeles County, California"
"1400000US06037124500","1177","142","Census Tract 1245, Los Angeles County, California"
"1400000US06037124600","1401","173","Census Tract 1246, Los Angeles County, California"
"1400000US06037124700","1236","121","Census Tract 1247, Los Angeles County, California"
"1400000US06037124902","1101","75","Census Tract 1249.02, Los Angeles County, California"
"1400000US06037124903","1206","111","Census Tract 1249.03, Los Angeles County, California"
"1400000US06037125100","1177","55","Census Tract 1251, Los Angeles County, California"
"1400000US06037125200","1051","70","Census Tract 1252, Los Angeles County, California"
"1400000US06037125310","1202","153","Census Tract 1253.10, Los Angeles County, California"
"1400000US06037125320","1099","99","Census Tract 1253.20, Los Angeles County, California"
"1400000US06037125401","1148","50","Census Tract 1254.01, Los Angeles County, California"
"1400000US06037125402","1196","104","Census Tract 1254.02, Los Angeles County, California"
"1400000US06037125501","1082","121","Census Tract 1255.01, Los Angeles County, California"
"1400000US06037125502","1286","177","Census Tract 1255.02, Los Angeles County, California"
"1400000US06037125600","1335","73","Census Tract 1256, Los Angeles County, California"
"1400000US06037127102","1196","146","Census Tract 1271.02, Los Angeles County, California"
"1400000US06037127103","959","61","Census Tract 1271.03, Los Angeles County, California"
"1400000US06037127104","1044","99","Census Tract 1271.04, Los Angeles County, California"
"1400000US06037127210","996","74","Census Tract 1272.10, Los Angeles County, California"
"1400000US06037127220","929","46","Census Tract 1272.20, Los Angeles County, California"
"1400000US06037127300","963","59","Census Tract 1273, Los Angeles County, California"
"1400000US06037127400","1025","74","Census Tract 1274, Los Angeles County, California"
"1400000US06037127520","948","47","Census Tract 1275.20, Los Angeles County, California"
"1400000US06037127603","939","72","Census Tract 1276.03, Los Angeles County, California"
"1400000US06037127604","877","97","Census Tract 1276.04, Los Angeles County, California"
"1400000US06037127605","1003","88","Census Tract 1276.05, Los Angeles County, California"
"1400000US06037127606","998","93","Census Tract 1276.06, Los Angeles County, California"
"1400000US06037127711","1240","254","Census Tract 1277.11, Los Angeles County, California"
"1400000US06037127712","874","43","Census Tract 1277.12, Los Angeles County, California"
"1400000US06037127803","946","86","Census Tract 1278.03, Los Angeles County, California"
"1400000US06037127804","995","53","Census Tract 1278.04, Los Angeles County, California"
"1400000US06037127805","948","108","Census Tract 1278.05, Los Angeles County, California"
"1400000US06037127806","1079","93","Census Tract 1278.06, Los Angeles County, California"
"1400000US06037127910","983","74","Census Tract 1279.10, Los Angeles County, California"
"1400000US06037127920","1054","146","Census Tract 1279.20, Los Angeles County, California"
"1400000US06037128101","1155","65","Census Tract 1281.01, Los Angeles County, California"
"1400000US06037128102","998","69","Census Tract 1281.02, Los Angeles County, California"
"1400000US06037128210","984","52","Census Tract 1282.10, Los Angeles County, California"
"1400000US06037128220","933","82","Census Tract 1282.20, Los Angeles County, California"
"1400000US06037128302","963","48","Census Tract 1283.02, Los Angeles County, California"
"1400000US06037128303","967","44","Census Tract 1283.03, Los Angeles County, California"
"1400000US06037128400","1328","113","Census Tract 1284, Los Angeles County, California"
"1400000US06037128500","1245","80","Census Tract 1285, Los Angeles County, California"
"1400000US06037128601","1020","107","Census Tract 1286.01, Los Angeles County, California"
"1400000US06037128602","1122","126","Census Tract 1286.02, Los Angeles County, California"
"1400000US06037128702","1307","91","Census Tract 1287.02, Los Angeles County, California"
"1400000US06037128801","1205","83","Census Tract 1288.01, Los Angeles County, California"
"1400000US06037128802","1386","82","Census Tract 1288.02, Los Angeles County, California"
"1400000US06037128910","1194","113","Census Tract 1289.10, Los Angeles County, California"
"1400000US06037131010","1043","78","Census Tract 1310.10, Los Angeles County, California"
"1400000US06037131020","1338","287","Census Tract 1310.20, Los Angeles County, California"
"1400000US06037131100","1783","68","Census Tract 1311, Los Angeles County, California"
"1400000US06037131200","1496","1278","Census Tract 1312, Los Angeles County, California"
"1400000US06037131300","1851","471","Census Tract 1313, Los Angeles County, California"
"1400000US06037131400","1189","97","Census Tract 1314, Los Angeles County, California"
"1400000US06037131600","1927","350","Census Tract 1316, Los Angeles County, California"
"1400000US06037131701","1226","142","Census Tract 1317.01, Los Angeles County, California"
"1400000US06037131702","1197","91","Census Tract 1317.02, Los Angeles County, California"
"1400000US06037131800","1040","166","Census Tract 1318, Los Angeles County, California"
"1400000US06037131900","1843","517","Census Tract 1319, Los Angeles County, California"
"1400000US06037132001","1190","169","Census Tract 1320.01, Los Angeles County, California"
"1400000US06037132002","1278","262","Census Tract 1320.02, Los Angeles County, California"
"1400000US06037132101","1235","108","Census Tract 1321.01, Los Angeles County, California"
"1400000US06037132102","1141","53","Census Tract 1321.02, Los Angeles County, California"
"1400000US06037132300","941","58","Census Tract 1323, Los Angeles County, California"
"1400000US06037132501","1134","68","Census Tract 1325.01, Los Angeles County, California"
"1400000US06037132502","1040","363","Census Tract 1325.02, Los Angeles County, California"
"1400000US06037132700","972","168","Census Tract 1327, Los Angeles County, California"
"1400000US06037132900","1528","207","Census Tract 1329, Los Angeles County, California"
"1400000US06037133000","1892","287","Census Tract 1330, Los Angeles County, California"
"1400000US06037133100","1256","127","Census Tract 1331, Los Angeles County, California"
"1400000US06037134001","1108","101","Census Tract 1340.01, Los Angeles County, California"
"1400000US06037134002","991","163","Census Tract 1340.02, Los Angeles County, California"
"1400000US06037134101","1074","151","Census Tract 1341.01, Los Angeles County, California"
"1400000US06037134103","1074","201","Census Tract 1341.03, Los Angeles County, California"
"1400000US06037134104","1167","93","Census Tract 1341.04, Los Angeles County, California"
"1400000US06037134201","1278","204","Census Tract 1342.01, Los Angeles County, California"
"1400000US06037134302","2,000+","***","Census Tract 1343.02, Los Angeles County, California"
"1400000US06037134303","1800","303","Census Tract 1343.03, Los Angeles County, California"
"1400000US06037134304","992","209","Census Tract 1343.04, Los Angeles County, California"
"1400000US06037134305","1067","66","Census Tract 1343.05, Los Angeles County, California"
"1400000US06037134306","1122","79","Census Tract 1343.06, Los Angeles County, California"
"1400000US06037134421","2,000+","***","Census Tract 1344.21, Los Angeles County, California"
"1400000US06037134422","2,000+","***","Census Tract 1344.22, Los Angeles County, California"
"1400000US06037134423","2,000+","***","Census Tract 1344.23, Los Angeles County, California"
"1400000US06037134424","-","**","Census Tract 1344.24, Los Angeles County, California"
"1400000US06037134520","1045","72","Census Tract 1345.20, Los Angeles County, California"
"1400000US06037134521","1043","156","Census Tract 1345.21, Los Angeles County, California"
"1400000US06037134522","1040","124","Census Tract 1345.22, Los Angeles County, California"
"1400000US06037134710","908","56","Census Tract 1347.10, Los Angeles County, California"
"1400000US06037134720","1118","100","Census Tract 1347.20, Los Angeles County, California"
"1400000US06037134800","1904","197","Census Tract 1348, Los Angeles County, California"
"1400000US06037134901","1013","190","Census Tract 1349.01, Los Angeles County, California"
"1400000US06037134903","1196","51","Census Tract 1349.03, Los Angeles County, California"
"1400000US06037134904","973","151","Census Tract 1349.04, Los Angeles County, California"
"1400000US06037134905","1825","64","Census Tract 1349.05, Los Angeles County, California"
"1400000US06037135102","1700","476","Census Tract 1351.02, Los Angeles County, California"
"1400000US06037135111","1215","79","Census Tract 1351.11, Los Angeles County, California"
"1400000US06037135113","2,000+","***","Census Tract 1351.13, Los Angeles County, California"
"1400000US06037135114","1409","61","Census Tract 1351.14, Los Angeles County, California"
"1400000US06037135201","2,000+","***","Census Tract 1352.01, Los Angeles County, California"
"1400000US06037135202","2,000+","***","Census Tract 1352.02, Los Angeles County, California"
"1400000US06037135203","2,000+","***","Census Tract 1352.03, Los Angeles County, California"
"1400000US06037137103","2,000+","***","Census Tract 1371.03, Los Angeles County, California"
"1400000US06037137104","2,000+","***","Census Tract 1371.04, Los Angeles County, California"
"1400000US06037137201","1364","73","Census Tract 1372.01, Los Angeles County, California"
"1400000US06037137301","2,000+","***","Census Tract 1373.01, Los Angeles County, California"
"1400000US06037137302","2,000+","***","Census Tract 1373.02, Los Angeles County, California"
"1400000US06037137401","1826","189","Census Tract 1374.01, Los Angeles County, California"
"1400000US06037137402","2,000+","***","Census Tract 1374.02, Los Angeles County, California"
"1400000US06037137501","1560","103","Census Tract 1375.01, Los Angeles County, California"
"1400000US06037137502","1860","196","Census Tract 1375.02, Los Angeles County, California"
"1400000US06037137504","-","**","Census Tract 1375.04, Los Angeles County, California"
"1400000US06037138000","2,000+","***","Census Tract 1380, Los Angeles County, California"
"1400000US06037139001","1571","170","Census Tract 1390.01, Los Angeles County, California"
"1400000US06037139200","1397","180","Census Tract 1392, Los Angeles County, California"
"1400000US06037139301","2,000+","***","Census Tract 1393.01, Los Angeles County, California"
"1400000US06037139302","1148","56","Census Tract 1393.02, Los Angeles County, California"
"1400000US06037139303","1077","72","Census Tract 1393.03, Los Angeles County, California"
"1400000US06037139401","1218","152","Census Tract 1394.01, Los Angeles County, California"
"1400000US06037139402","-","**","Census Tract 1394.02, Los Angeles County, California"
"1400000US06037139502","1586","962","Census Tract 1395.02, Los Angeles County, California"
"1400000US06037139503","1172","50","Census Tract 1395.03, Los Angeles County, California"
"1400000US06037139504","1389","105","Census Tract 1395.04, Los Angeles County, California"
"1400000US06037139600","1483","129","Census Tract 1396, Los Angeles County, California"
"1400000US06037139701","2,000+","***","Census Tract 1397.01, Los Angeles County, California"
"1400000US06037139702","2,000+","***","Census Tract 1397.02, Los Angeles County, California"
"1400000US06037139703","2,000+","***","Census Tract 1397.03, Los Angeles County, California"
"1400000US06037139801","1364","1154","Census Tract 1398.01, Los Angeles County, California"
"1400000US06037139802","2,000+","***","Census Tract 1398.02, Los Angeles County, California"
"1400000US06037141101","1398","109","Census Tract 1411.01, Los Angeles County, California"
"1400000US06037141102","1475","250","Census Tract 1411.02, Los Angeles County, California"
"1400000US06037141201","1307","137","Census Tract 1412.01, Los Angeles County, California"
"1400000US06037141202","1605","147","Census Tract 1412.02, Los Angeles County, California"
"1400000US06037141302","1486","77","Census Tract 1413.02, Los Angeles County, California"
"1400000US06037141303","1507","121","Census Tract 1413.03, Los Angeles County, California"
"1400000US06037141304","1485","194","Census Tract 1413.04, Los Angeles County, California"
"1400000US06037141400","1567","218","Census Tract 1414, Los Angeles County, California"
"1400000US06037141500","1896","468","Census Tract 1415, Los Angeles County, California"
"1400000US06037141600","2,000+","***","Census Tract 1416, Los Angeles County, California"
"1400000US06037141700","2,000+","***","Census Tract 1417, Los Angeles County, California"
"1400000US06037143100","1313","189","Census Tract 1431, Los Angeles County, California"
"1400000US06037143200","1295","108","Census Tract 1432, Los Angeles County, California"
"1400000US06037143300","1231","72","Census Tract 1433, Los Angeles County, California"
"1400000US06037143400","1570","115","Census Tract 1434, Los Angeles County, California"
"1400000US06037143500","1609","150","Census Tract 1435, Los Angeles County, California"
"1400000US06037143602","1346","95","Census Tract 1436.02, Los Angeles County, California"
"1400000US06037143603","1331","124","Census Tract 1436.03, Los Angeles County, California"
"1400000US06037143604","1705","153","Census Tract 1436.04, Los Angeles County, California"
"1400000US06037143700","1426","483","Census Tract 1437, Los Angeles County, California"
"1400000US06037143800","1326","224","Census Tract 1438, Los Angeles County, California"
"1400000US06037143901","1346","201","Census Tract 1439.01, Los Angeles County, California"
"1400000US06037143902","1377","93","Census Tract 1439.02, Los Angeles County, California"
"1400000US06037181000","1320","152","Census Tract 1810, Los Angeles County, California"
"1400000US06037181300","1443","501","Census Tract 1813, Los Angeles County, California"
"1400000US06037181400","1102","120","Census Tract 1814, Los Angeles County, California"
"1400000US06037181500","1180","222","Census Tract 1815, Los Angeles County, California"
"1400000US06037181600","1195","101","Census Tract 1816, Los Angeles County, California"
"1400000US06037183101","1066","251","Census Tract 1831.01, Los Angeles County, California"
"1400000US06037183103","1055","76","Census Tract 1831.03, Los Angeles County, California"
"1400000US06037183104","1101","77","Census Tract 1831.04, Los Angeles County, California"
"1400000US06037183220","1018","128","Census Tract 1832.20, Los Angeles County, California"
"1400000US06037183221","1087","85","Census Tract 1832.21, Los Angeles County, California"
"1400000US06037183222","946","207","Census Tract 1832.22, Los Angeles County, California"
"1400000US06037183300","1223","213","Census Tract 1833, Los Angeles County, California"
"1400000US06037183401","1292","394","Census Tract 1834.01, Los Angeles County, California"
"1400000US06037183402","981","77","Census Tract 1834.02, Los Angeles County, California"
"1400000US06037183510","1363","117","Census Tract 1835.10, Los Angeles County, California"
"1400000US06037183520","915","73","Census Tract 1835.20, Los Angeles County, California"
"1400000US06037183610","1022","88","Census Tract 1836.10, Los Angeles County, California"
"1400000US06037183620","948","37","Census Tract 1836.20, Los Angeles County, California"
"1400000US06037183701","990","307","Census Tract 1837.01, Los Angeles County, California"
"1400000US06037183702","1243","244","Census Tract 1837.02, Los Angeles County, California"
"1400000US06037183810","909","127","Census Tract 1838.10, Los Angeles County, California"
"1400000US06037183820","918","76","Census Tract 1838.20, Los Angeles County, California"
"1400000US06037185100","816","175","Census Tract 1851, Los Angeles County, California"
"1400000US06037185202","977","85","Census Tract 1852.02, Los Angeles County, California"
"1400000US06037185203","982","290","Census Tract 1852.03, Los Angeles County, California"
"1400000US06037185204","1375","476","Census Tract 1852.04, Los Angeles County, California"
"1400000US06037185310","835","64","Census Tract 1853.10, Los Angeles County, California"
