"B25063_001E","B25063_001M","B25063_002E","B25063_002M","B25063_003E","B25063_003M","B25063_004E","B25063_004M","B25063_005E","B25063_005M","B25063_006E","B25063_006M","B25063_007E","B25063_007M","B25063_008E","B25063_008M","B25063_009E","B25063_009M","B25063_010E","B25063_010M","B25063_011E","B25063_011M","B25063_012E","B25063_012M","B25063_013E","B25063_013M","B25063_014E","B25063_014M","B25063_015E","B25063_015M","B25063_016E","B25063_016M","B25063_017E","B25063_017M","B25063_018E","B25063_018M","B25063_019E","B25063_019M","B25063_020E","B25063_020M","B25063_021E","B25063_021M","B25063_022E","B25063_022M","B25063_023E","B25063_023M","B25063_024E","B25063_024M","B25063_025E","B25063_025M","B25063_026E","B25063_026M","B25063_027E","B25063_027M","GEO_ID","NAME"
"240","62","235","62","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","6","11","0","13","0","13","0","13","0","13","16","17","36","28","79","50","74","50","23","19","1","2","0","13","5","7","1400000US06037102105","Census Tract 1021.05, Los Angeles County, California"
"302","104","291","104","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","9","14","0","13","0","13","0","13","23","36","0","13","83","60","71","70","60","58","33","49","0","13","0","13","12","24","11","17","1400000US06037102107","Census Tract 1021.07, Los Angeles County, California"
"136","79","92","41","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","13","19","0","13","0","13","31","26","26","28","17","15","5","7","44","72","1400000US06037103101","Census Tract 1031.01, Los Angeles County, California"
"426","133","418","134","0","13","0","13","0","13","10","16","72","100","0","13","22","34","0","13","23","34","21","35","0","13","0","13","8","13","0","13","10","15","0","13","35","45","8","13","0","13","80","40","64","59","56","56","9","13","0","13","8","13","1400000US06037103102","Census Tract 1031.02, Los Angeles County, California"
"877","272","877","272","11","20","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","132","188","26","32","0","13","72","65","242","117","174","152","38","38","102","95","70","62","10","18","0","13","0","13","1400000US06037103201","Census Tract 1032.01, Los Angeles County, California"
"59","54","20","22","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","10","16","0","13","10","16","0","13","0","13","39","49","1400000US06037103202","Census Tract 1032.02, Los Angeles County, California"
"103","63","100","63","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","5","8","6","11","0","13","0","13","61","54","28","36","3","8","1400000US06037103300","Census Tract 1033, Los Angeles County, California"
"228","89","202","94","0","13","0","13","0","13","0","13","0","13","0","13","0","13","12","21","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","12","19","24","27","0","13","98","83","42","50","0","13","14","23","0","13","26","31","1400000US06037103401","Census Tract 1034.01, Los Angeles County, California"
"224","106","199","101","0","13","0","13","0","13","0","13","0","13","14","23","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","13","24","63","77","43","42","15","25","0","13","51","58","0","13","0","13","0","13","25","44","1400000US06037103402","Census Tract 1034.02, Los Angeles County, California"
"158","60","158","60","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","10","15","0","13","8","12","30","28","89","45","21","24","0","13","0","13","0","13","1400000US06037104103","Census Tract 1041.03, Los Angeles County, California"
"780","146","766","144","0","19","0","19","0","19","51","67","12","13","30","45","30","36","34","40","0","19","38","42","0","19","40","44","10","19","0","19","58","47","29","34","83","102","108","77","37","52","114","78","26","31","50","56","16","26","0","19","14","21","1400000US06037104105","Census Tract 1041.05, Los Angeles County, California"
"779","80","760","85","0","19","0","19","0","19","10","16","47","42","26","26","28","29","0","19","24","36","0","19","0","19","0","19","20","31","0","19","18","31","0","19","51","43","37","43","213","94","201","75","59","65","0","19","26","40","0","19","19","20","1400000US06037104108","Census Tract 1041.08, Los Angeles County, California"
"270","98","199","70","0","13","0","13","0","13","0","13","0","13","0","13","10","17","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","18","24","50","56","20","26","0","13","37","42","51","53","13","19","0","13","0","13","71","75","1400000US06037104124","Census Tract 1041.24, Los Angeles County, California"
"239","70","217","66","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","13","20","0","13","0","13","23","33","21","24","0","13","0","13","32","33","29","29","55","35","26","29","0","13","18","26","22","32","1400000US06037104201","Census Tract 1042.01, Los Angeles County, California"
"584","134","580","132","0","19","0","19","0","19","21","32","10","16","0","19","0","19","18","28","20","18","0","19","0","19","19","32","26","31","0","19","0","19","0","19","35","38","109","67","78","83","118","77","79","57","47","50","0","19","0","19","4","13","1400000US06037104203","Census Tract 1042.03, Los Angeles County, California"
"276","90","251","89","0","13","0","13","0","13","0","13","0","13","5","9","6","8","0","13","59","79","0","13","6","9","7","12","0","13","0","13","12","17","12","20","13","21","11","17","54","31","36","25","5","8","0","13","25","25","0","13","25","22","1400000US06037104204","Census Tract 1042.04, Los Angeles County, California"
"222","77","210","77","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","27","25","81","62","48","37","40","30","14","21","12","18","1400000US06037104310","Census Tract 1043.10, Los Angeles County, California"
"674","400","674","400","8","12","0","13","0","13","0","13","50","43","8","12","0","13","0","13","0","13","21","35","0","13","0","13","8","13","0","13","0","13","260","399","19","31","98","66","72","67","52","48","39","47","39","60","0","13","0","13","0","13","1400000US06037104321","Census Tract 1043.21, Los Angeles County, California"
"206","93","206","93","0","13","0","13","0","13","0","13","0","13","19","31","0","13","0","13","0","13","0","13","8","14","0","13","0","13","19","30","0","13","0","13","0","13","91","105","41","46","21","32","7","11","0","13","0","13","0","13","0","13","1400000US06037104322","Census Tract 1043.22, Los Angeles County, California"
"247","64","247","64","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","14","22","0","13","0","13","0","13","0","13","7","11","0","13","0","13","23","22","64","40","52","45","45","32","25","25","13","14","4","6","0","13","0","13","1400000US06037104401","Census Tract 1044.01, Los Angeles County, California"
"195","62","182","63","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","9","17","0","13","10","16","0","13","0","13","0","13","0","13","0","13","30","30","34","39","63","40","31","32","5","9","0","13","0","13","13","11","1400000US06037104403","Census Tract 1044.03, Los Angeles County, California"
"429","112","406","114","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","7","13","0","13","0","13","0","13","0","13","0","13","17","20","0","13","74","39","135","74","130","79","35","26","0","13","8","13","0","13","23","22","1400000US06037104404","Census Tract 1044.04, Los Angeles County, California"
"171","91","160","90","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","18","26","0","13","25","34","33","29","10","15","33","30","41","64","0","13","11","12","1400000US06037104500","Census Tract 1045, Los Angeles County, California"
"268","97","258","96","0","13","0","13","0","13","0","13","0","13","15","17","0","13","0","13","0","13","0","13","0","13","4","6","0","13","0","13","13","20","11","13","41","22","21","23","21","18","41","34","67","65","24","23","0","13","0","13","10","10","1400000US06037104610","Census Tract 1046.10, Los Angeles County, California"
"260","95","243","90","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","9","14","0","13","0","13","0","13","9","14","0","13","0","13","0","13","76","79","15","25","54","37","80","48","0","13","0","13","0","13","17","28","1400000US06037104620","Census Tract 1046.20, Los Angeles County, California"
"715","107","715","107","0","13","0","13","23","25","8","13","4","7","0","13","17","20","13","11","0","13","56","39","4","6","5","7","16","13","44","43","0","13","12","16","37","32","130","85","135","45","143","71","49","37","12","18","7","10","0","13","0","13","1400000US06037104701","Census Tract 1047.01, Los Angeles County, California"
"378","94","378","94","9","13","9","16","0","13","0","13","21","22","7","10","0","13","13","21","0","13","19","27","13","19","0","13","0","13","0","13","21","30","33","32","9","15","42","45","37","35","145","59","0","13","0","13","0","13","0","13","0","13","1400000US06037104703","Census Tract 1047.03, Los Angeles County, California"
"368","115","346","112","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","27","40","15","19","0","13","50","41","10","17","10","17","0","13","86","60","128","76","20","30","0","13","0","13","0","13","22","31","1400000US06037104704","Census Tract 1047.04, Los Angeles County, California"
"390","66","386","66","0","13","0","13","0","13","0","13","16","19","0","13","31","29","0","13","17","20","0","13","0","13","0","13","9","9","15","18","12","18","10","16","4","7","13","12","85","48","143","56","22","19","4","8","0","13","5","7","4","7","1400000US06037104821","Census Tract 1048.21, Los Angeles County, California"
"426","89","426","89","0","13","0","13","0","13","7","10","41","31","0","13","0","13","0","13","15","23","0","13","0","13","0","13","0","13","0","13","0","13","36","46","0","13","58","38","10","11","192","50","63","43","4","6","0","13","0","13","0","13","1400000US06037104822","Census Tract 1048.22, Los Angeles County, California"
"144","98","129","92","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","14","23","0","13","15","24","0","13","54","61","46","45","0","13","0","13","0","13","15","19","1400000US06037104823","Census Tract 1048.23, Los Angeles County, California"
"108","102","108","102","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","60","71","0","13","0","13","48","60","0","13","0","13","0","13","0","13","0","13","1400000US06037104824","Census Tract 1048.24, Los Angeles County, California"
"191","61","191","61","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","8","10","39","31","36","29","28","32","77","45","0","13","3","4","0","13","1400000US06037106010","Census Tract 1060.10, Los Angeles County, California"
"267","92","267","92","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","11","17","0","19","56","55","76","67","11","18","71","50","38","36","4","16","0","19","1400000US06037106020","Census Tract 1060.20, Los Angeles County, California"
"155","98","127","87","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","25","39","66","62","36","48","0","13","0","13","28","46","1400000US06037106111","Census Tract 1061.11, Los Angeles County, California"
"190","98","131","85","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","72","77","22","22","2","8","13","23","22","34","59","68","1400000US06037106112","Census Tract 1061.12, Los Angeles County, California"
"180","61","170","61","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","16","25","0","13","65","49","20","24","48","42","16","26","5","7","10","11","1400000US06037106113","Census Tract 1061.13, Los Angeles County, California"
"815","114","778","114","0","19","0","19","0","19","0","19","0","19","11","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","6","10","0","19","25","40","18","19","154","83","234","97","263","101","67","50","0","19","0","19","0","19","37","32","1400000US06037106114","Census Tract 1061.14, Los Angeles County, California"
"162","63","162","63","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","17","27","0","13","0","13","0","13","29","34","19","29","30","26","52","39","0","13","15","23","0","13","0","13","1400000US06037106403","Census Tract 1064.03, Los Angeles County, California"
"650","175","580","151","0","13","0","13","0","13","0","13","15","23","13","20","35","37","15","21","0","13","0","13","0","13","0","13","0","13","10","16","13","22","0","13","24","28","61","58","163","96","168","108","61","67","2","17","0","13","0","13","70","66","1400000US06037106405","Census Tract 1064.05, Los Angeles County, California"
"269","104","218","90","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","20","24","0","19","99","87","86","65","13","20","0","19","0","19","51","54","1400000US06037106406","Census Tract 1064.06, Los Angeles County, California"
"664","87","653","90","5","7","0","13","0","13","0","13","52","43","47","31","10","10","10","17","0","13","0","13","0","13","22","34","0","13","0","13","0","13","9","10","0","13","51","30","37","28","294","81","66","58","50","41","0","13","0","13","11","18","1400000US06037106407","Census Tract 1064.07, Los Angeles County, California"
"836","117","800","120","0","13","0","13","18","29","0","13","42","29","0","13","5","9","0","13","10","14","0","13","14","22","6","9","0","13","0","13","55","43","0","13","0","13","104","44","101","47","303","108","114","79","23","28","5","7","0","13","36","38","1400000US06037106408","Census Tract 1064.08, Los Angeles County, California"
"494","126","491","127","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","26","41","50","52","47","40","158","81","48","66","162","112","0","19","0","19","3","8","1400000US06037106510","Census Tract 1065.10, Los Angeles County, California"
"523","183","482","176","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","28","32","0","19","14","21","0","19","0","19","21","33","0","19","61","54","161","132","110","77","60","53","0","19","27","44","41","44","1400000US06037106520","Census Tract 1065.20, Los Angeles County, California"
"97","46","97","46","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","8","12","0","13","6","9","0","13","7","11","11","12","65","36","0","13","1400000US06037106603","Census Tract 1066.03, Los Angeles County, California"
"660","145","660","145","5","8","0","13","0","13","0","13","4","7","0","13","4","7","0","13","0","13","14","25","0","13","0","13","0","13","4","8","14","22","11","19","21","24","93","84","122","82","112","56","177","130","14","17","65","66","0","13","0","13","1400000US06037106604","Census Tract 1066.04, Los Angeles County, California"
"83","46","83","46","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","8","11","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","25","28","0","13","20","22","9","12","21","19","0","13","1400000US06037106641","Census Tract 1066.41, Los Angeles County, California"
"83","42","76","43","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","44","33","0","13","0","13","0","13","0","13","15","23","0","13","0","13","6","13","6","11","5","10","7","12","1400000US06037106642","Census Tract 1066.42, Los Angeles County, California"
"142","62","120","59","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","3","9","86","59","0","13","0","13","31","35","22","26","1400000US06037106643","Census Tract 1066.43, Los Angeles County, California"
"154","158","151","158","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","20","22","24","36","107","150","3","6","1400000US06037106645","Census Tract 1066.45, Los Angeles County, California"
"109","69","80","66","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","54","62","5","8","0","13","14","16","0","13","7","10","0","13","29","24","1400000US06037106646","Census Tract 1066.46, Los Angeles County, California"
"586","101","586","101","0","13","0","13","0","13","0","13","0","13","27","43","0","13","0","13","0","13","0","13","4","8","18","27","0","13","0","13","34","38","46","53","59","51","97","52","125","68","89","55","78","64","9","15","0","13","0","13","0","13","1400000US06037106648","Census Tract 1066.48, Los Angeles County, California"
"137","44","131","42","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","4","8","0","13","31","30","5","9","37","29","0","13","15","22","30","24","9","15","6","12","1400000US06037106649","Census Tract 1066.49, Los Angeles County, California"
"210","77","196","77","0","13","0","13","0","13","0","13","0","13","0","13","0","13","4","7","0","13","0","13","0","13","0","13","0","13","0","13","0","13","4","7","0","13","14","16","28","36","99","73","37","33","10","15","0","13","0","13","14","15","1400000US06037107010","Census Tract 1070.10, Los Angeles County, California"
"379","169","359","175","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","10","15","46","47","51","43","172","156","24","30","49","47","0","19","7","11","20","33","1400000US06037107020","Census Tract 1070.20, Los Angeles County, California"
"124","54","85","44","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","6","10","11","13","24","29","30","26","14","11","39","36","1400000US06037108101","Census Tract 1081.01, Los Angeles County, California"
"138","69","113","59","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","14","22","9","14","0","13","10","15","0","13","21","26","8","14","7","12","22","24","22","31","25","29","1400000US06037108102","Census Tract 1081.02, Los Angeles County, California"
"73","51","54","49","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","21","29","0","13","33","38","19","22","1400000US06037108103","Census Tract 1081.03, Los Angeles County, California"
"74","41","74","41","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","5","8","0","13","0","13","58","40","11","13","0","13","1400000US06037108104","Census Tract 1081.04, Los Angeles County, California"
"992","291","913","276","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","28","43","0","19","41","37","83","69","258","134","92","99","166","110","80","61","165","237","79","109","1400000US06037108202","Census Tract 1082.02, Los Angeles County, California"
"282","109","282","109","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","74","67","90","65","118","58","0","13","1400000US06037108203","Census Tract 1082.03, Los Angeles County, California"
"66","55","54","52","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","46","51","8","15","12","19","1400000US06037108204","Census Tract 1082.04, Los Angeles County, California"
"280","88","260","91","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","11","16","0","13","0","13","0","13","0","13","7","11","84","88","16","26","0","13","88","45","7","10","35","34","12","19","20","17","1400000US06037109100","Census Tract 1091, Los Angeles County, California"
"183","70","177","69","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","8","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","10","16","74","52","85","65","0","13","0","13","6","10","1400000US06037109200","Census Tract 1092, Los Angeles County, California"
"136","54","114","49","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","32","40","28","25","15","14","39","23","0","13","22","33","1400000US06037109300","Census Tract 1093, Los Angeles County, California"
"411","188","374","182","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","125","168","55","51","43","49","63","68","88","48","0","13","0","13","0","13","37","44","1400000US06037109400","Census Tract 1094, Los Angeles County, California"
"380","123","380","123","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","28","43","104","87","54","61","51","39","80","50","63","65","0","13","0","13","0","13","1400000US06037109500","Census Tract 1095, Los Angeles County, California"
"129","72","121","72","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","7","11","0","13","12","18","11","17","3","8","88","66","0","13","8","12","1400000US06037109601","Census Tract 1096.01, Los Angeles County, California"
"518","121","518","121","0","13","0","13","0","13","0","13","0","13","0","13","23","27","0","13","0","13","0","13","0","13","0","13","13","20","0","13","0","13","0","13","0","13","107","63","50","42","133","86","169","110","23","30","0","13","0","13","0","13","1400000US06037109603","Census Tract 1096.03, Los Angeles County, California"
"195","66","195","66","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","30","36","0","13","0","13","0","13","9","14","51","41","56","44","6","10","23","29","17","22","0","13","3","6","0","13","1400000US06037109604","Census Tract 1096.04, Los Angeles County, California"
"276","121","276","121","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","12","20","12","18","42","51","108","110","45","51","57","50","0","13","0","13","1400000US06037109700","Census Tract 1097, Los Angeles County, California"
"435","139","384","130","0","19","0","19","0","19","16","26","0","19","9","15","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","25","40","64","33","166","90","93","92","11","19","0","19","51","55","1400000US06037109800","Census Tract 1098, Los Angeles County, California"
"256","87","256","87","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","8","9","0","13","78","37","54","65","47","35","26","18","43","39","0","13","1400000US06037111100","Census Tract 1111, Los Angeles County, California"
"186","92","171","91","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","27","42","7","11","0","13","9","14","47","53","30","32","0","13","51","47","15","18","1400000US06037111201","Census Tract 1112.01, Los Angeles County, California"
