"GEO_ID","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C01_031E","S1903_C01_031M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M","S1903_C02_031E","S1903_C02_031M","NAME"
"1400000US06037183520","1090","73","69.8","8.9","3.9","3.7","0.0","3.6","1.8","2.1","0.0","3.6","22.7","7.7","1.8","2.4","81.7","7.7","10.1","5.4","2.5","2.8","52.8","8.5","36.3","8.0","8.4","5.0","865","104","65.0","10.2","35.0","10.2","60.5","10.2","27.1","9.9","12.5","7.5","225","77","44.0","20.3","39.6","19.1","4.4","6.7","56.0","20.3","30.7","20.5","25.3","17.4","38.5","(X)","34.1","(X)","38.7","(X)","41852","5353","41578","6032","83750","169312","-","**","51250","52901","-","**","41438","16075","98750","84866","41528","4343","34803","58781","35625","48917","46528","13504","41667","12155","30403","11446","41153","4044","39722","14560","42175","25947","51188","18381","33375","11789","40500","24179","33620","2280","33233","6615","32802","5041","-","**","34211","14707","20461","20064","51382","32452","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1835.20, Los Angeles County, California"
"1400000US06037183610","969","65","50.4","9.5","6.4","4.7","0.0","4.0","10.1","6.3","0.0","4.0","31.6","9.7","1.5","2.2","72.8","7.8","10.5","5.3","11.5","6.8","53.4","8.8","24.0","7.4","11.1","4.3","732","84","66.0","7.7","34.0","7.7","55.6","11.9","26.6","10.0","17.8","7.5","237","74","33.8","20.7","26.2","19.9","7.6","11.6","66.2","20.7","48.9","20.0","17.3","15.2","18.5","(X)","19.0","(X)","9.7","(X)","41658","6494","37054","13026","55455","48052","-","**","29615","37712","-","**","43750","8351","-","**","45361","7239","10000","42193","36319","15479","43162","16563","35375","25319","60795","24740","37151","10956","31007","7900","52829","9672","65197","18589","14205","3540","27875","15258","26736","23156","36528","37645","52717","93467","-","**","25208","19546","12188","18099","40481","25061","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1836.10, Los Angeles County, California"
"1400000US06037183620","1040","55","63.5","10.2","2.6","3.0","0.0","3.8","14.7","6.2","0.0","3.8","19.2","7.9","0.0","3.8","64.3","8.3","18.4","6.2","2.0","2.8","54.2","8.8","26.9","8.6","16.8","7.9","784","86","57.3","11.7","42.7","11.7","55.6","11.7","35.3","11.9","9.1","6.4","256","86","41.8","18.1","41.8","18.1","0.0","14.4","58.2","18.1","25.4","15.1","32.8","21.5","40.6","(X)","36.7","(X)","27.0","(X)","41121","6586","41897","16608","17750","15713","-","**","39906","25417","-","**","43017","14577","-","**","41250","13077","44583","92026","31458","15205","37813","12533","60613","11261","27409","15713","31212","9472","24754","8791","38669","19448","50385","21640","21023","1564","26544","18729","41042","14891","27188","12555","27188","12555","-","**","49073","20609","29659","26021","63448","36044","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1836.20, Los Angeles County, California"
"1400000US06037183701","1226","130","61.9","9.3","0.0","3.2","6.7","6.4","4.1","3.4","0.0","3.2","26.1","7.7","1.2","1.8","75.4","7.3","18.4","7.3","3.5","4.1","52.0","10.5","28.7","10.5","15.8","6.4","739","129","46.5","12.7","53.5","12.7","67.8","14.2","27.1","13.2","5.1","4.6","487","138","40.0","17.0","30.4","14.5","9.7","11.1","60.0","17.0","42.1","19.3","17.9","13.5","32.7","(X)","33.4","(X)","31.6","(X)","42318","15751","40994","12273","-","**","13269","171529","41875","45863","-","**","62500","36134","-","**","40357","18461","61827","33833","41920","104881","54464","13095","54000","38471","20741","1988","51250","17011","42102","18179","58304","32601","40313","18031","56596","11596","48571","11223","35990","22907","24554","47008","13750","19152","123164","16601","37500","25997","24707","24624","135257","119489","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1837.01, Los Angeles County, California"
"1400000US06037183702","1071","75","49.4","11.0","7.8","6.2","0.0","3.7","23.3","9.3","0.9","1.4","18.5","9.1","0.0","3.7","46.4","10.4","18.7","7.7","1.0","1.7","51.8","10.6","29.5","10.0","17.6","8.5","761","124","54.8","12.8","45.2","12.8","71.2","12.4","20.0","12.1","8.8","7.9","310","108","59.4","21.6","31.9","18.0","27.4","19.8","40.6","21.6","33.2","20.9","7.4","8.9","33.2","(X)","37.3","(X)","23.2","(X)","61216","10085","60843","17835","46538","92171","-","**","53409","34484","-","**","64583","14888","-","**","60685","17582","83413","17868","-","**","50481","25438","64375","15141","60958","41300","71806","14098","71885","19041","62333","33926","83232","13854","60583","20168","50673","7909","39375","23566","50417","37473","14519","10129","60727","8951","28333","22176","26058","13524","127604","48810","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1837.02, Los Angeles County, California"
"1400000US06037183810","1250","101","57.7","8.3","2.2","2.8","0.0","3.1","6.2","3.7","0.0","3.1","30.2","7.5","3.7","3.8","81.3","6.1","11.3","4.8","10.5","5.2","56.7","9.5","26.7","7.9","6.1","3.9","896","116","54.1","12.8","45.9","12.8","48.4","11.8","37.8","11.7","13.7","8.1","354","105","47.5","17.4","38.1","16.1","9.3","9.9","52.5","17.4","20.1","14.4","32.5","15.1","46.6","(X)","55.1","(X)","24.9","(X)","29722","11645","29080","9495","29444","55609","-","**","25313","22976","-","**","29932","19648","58750","9226","29583","11661","63194","37855","29549","15889","35724","15801","34737","10289","20833","2604","29719","9198","27946","9465","34408","9176","43092","14971","19564","13893","36382","9582","28421","14562","29605","18918","22375","15953","42426","109422","27143","23440","16625","17091","44009","12366","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1838.10, Los Angeles County, California"
"1400000US06037183820","976","97","53.8","12.0","7.1","5.9","0.0","4.0","5.1","4.0","0.0","4.0","34.0","10.5","0.0","4.0","77.3","9.6","14.3","8.0","5.2","5.4","39.9","11.8","46.5","11.2","8.4","6.1","744","120","58.2","13.6","41.8","13.6","78.1","10.6","21.0","10.5","0.9","1.7","232","89","39.7","21.9","39.7","21.9","0.0","15.8","60.3","21.9","31.9","24.6","28.4","25.5","21.9","(X)","21.8","(X)","8.2","(X)","41250","7124","42028","15034","46571","21401","-","**","4655","23928","-","**","38977","15416","-","**","39409","8894","60682","24251","10066","6757","47798","21390","42389","9562","23182","4797","37803","13976","33438","15609","46991","20068","40568","12986","18452","15702","-","**","41278","7375","12237","30812","12237","30812","-","**","60455","41628","41944","37921","61364","46701","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1838.20, Los Angeles County, California"
"1400000US06037185100","2234","115","62.3","9.0","7.0","4.6","0.5","0.8","5.4","3.1","0.3","0.6","20.9","8.5","3.6","2.7","38.3","6.2","46.1","6.8","0.6","1.0","39.7","6.4","46.1","6.9","13.6","5.1","1333","203","42.6","8.3","57.4","8.3","77.0","8.8","5.7","4.0","17.3","9.3","901","183","44.0","11.6","39.7","11.2","4.2","3.7","56.0","11.6","39.0","12.2","17.1","8.3","29.4","(X)","29.5","(X)","29.3","(X)","71591","23588","95248","15682","165536","145713","-","**","52917","75563","-","**","48625","28820","228214","144435","48960","8295","98958","25756","19091","37339","97308","79935","57969","15127","50476","52746","78359","29001","60259","56057","88125","30057","96250","10722","84750","72678","44122","8979","61188","35735","62708","34662","61875","33886","86154","75327","58083","68678","50625","49124","104833","86963","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1851, Los Angeles County, California"
"1400000US06037185202","1325","90","52.7","9.4","4.6","3.7","2.9","2.8","8.7","3.8","0.0","3.0","28.8","8.4","2.3","2.1","53.7","7.9","28.4","7.7","0.5","0.7","43.0","8.9","34.3","7.8","22.3","7.5","844","112","44.7","10.6","55.3","10.6","61.5","13.4","20.4","10.7","18.1","10.9","481","110","50.7","13.7","46.4","13.2","4.4","4.9","49.3","13.7","34.9","13.2","14.3","7.9","26.6","(X)","34.0","(X)","12.9","(X)","46365","9220","48000","26003","67880","46044","9875","70840","27784","2730","-","**","47037","16116","93750","71432","43393","17762","61121","30057","-","**","46296","12634","59167","15090","25847","12102","55192","17575","45116","20057","63750","14515","69743","17600","46935","19714","32708","14442","35335","12159","37097","8261","36250","10561","85313","2166","28229","22132","18581","7108","85481","22079","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1852.02, Los Angeles County, California"
"1400000US06037185203","899","65","54.9","10.5","0.0","4.3","2.1","3.1","1.8","2.8","0.0","4.3","41.2","10.1","0.0","4.3","83.1","7.9","13.0","6.7","2.2","3.1","43.2","9.5","37.5","8.7","17.1","6.9","665","94","47.8","11.3","52.2","11.3","65.1","13.4","24.5","11.7","10.4","7.4","234","93","41.9","22.6","41.9","22.6","0.0","15.7","58.1","22.6","42.7","22.5","15.4","13.2","35.8","(X)","35.3","(X)","34.2","(X)","46744","8136","59457","14012","-","**","-","**","-","**","-","**","34651","8359","-","**","45941","6612","54716","16711","36563","22514","52177","8476","43906","14210","33750","41262","51976","11916","51304","17474","53036","18378","56250","27914","45156","11035","31648","58814","36719","27378","16848","16510","16848","16510","-","**","45833","15321","45705","32981","62750","55587","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1852.03, Los Angeles County, California"
"1400000US06037185204","653","70","62.9","10.8","2.1","3.3","0.0","5.9","30.2","8.6","0.0","5.9","4.7","6.0","0.0","5.9","34.6","10.9","33.1","9.7","0.0","5.9","35.2","9.4","30.3","10.1","34.5","9.6","524","90","38.2","9.6","61.8","9.6","73.9","11.7","22.1","10.5","4.0","5.0","129","59","62.8","26.0","45.7","23.4","17.1","19.5","37.2","26.0","31.8","25.1","5.4","8.8","24.8","(X)","26.5","(X)","17.8","(X)","80950","26363","80450","33185","-","**","-","**","126705","71536","-","**","58510","26939","-","**","41667","34445","98571","23013","-","**","66786","29618","147750","91892","46625","39398","80500","26827","110125","105640","80400","20251","81250","37183","32750","68513","168359","26071","93750","96263","112875","17354","110341","55149","124615","28722","19022","7701","18641","13422","-","**","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1852.04, Los Angeles County, California"
"1400000US06037185310","892","48","49.3","13.6","0.0","4.4","1.6","2.4","3.5","3.0","0.0","4.4","44.3","13.0","1.3","2.1","85.5","7.2","11.0","7.8","0.0","4.4","53.1","9.4","28.9","10.4","17.9","8.2","756","84","46.8","11.7","53.2","11.7","54.2","12.6","24.2","10.2","21.6","11.0","136","76","89.7","17.1","72.1","23.3","17.6","26.3","10.3","17.1","10.3","17.1","0.0","25.1","33.2","(X)","34.0","(X)","0.0","(X)","40915","8157","41724","15541","-","**","-","**","35347","36093","-","**","45991","17444","-","**","41494","10333","53500","28783","-","**","45671","9136","38182","28675","31818","27346","40417","15537","36083","12512","49844","10981","50900","14657","19391","30193","27131","40490","38772","10974","38779","20688","39477","26991","-","**","-","**","-","**","-","**","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1853.10, Los Angeles County, California"
"1400000US06037185320","907","53","61.1","11.1","0.0","4.3","0.0","4.3","6.6","3.5","3.1","4.9","28.4","10.3","0.8","1.4","85.7","4.6","6.0","4.8","5.1","6.0","33.3","9.0","35.2","11.2","26.5","9.5","687","95","53.1","14.7","46.9","14.7","61.0","16.0","27.8","13.0","11.2","11.5","220","94","36.4","23.9","31.4","24.0","5.0","8.0","63.6","23.9","58.2","23.4","5.5","8.4","37.8","(X)","41.2","(X)","27.3","(X)","44253","10429","42621","11352","-","**","-","**","51406","39203","-","**","48056","38458","-","**","43837","9165","38750","80159","44143","40386","32357","17699","52148","13066","44167","30861","52148","14600","51953","24918","52344","17118","61652","12495","42917","28326","44607","122096","12386","14935","18148","15722","17639","18336","-","**","11591","19526","10909","18328","-","**","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1853.20, Los Angeles County, California"
"1400000US06037186100","1732","110","52.8","6.9","1.7","1.5","0.9","1.4","23.0","5.1","0.0","2.3","15.4","6.6","6.1","3.5","32.4","6.0","40.0","6.4","2.1","2.4","40.2","7.8","29.3","6.9","28.4","7.5","1204","134","35.0","8.5","65.0","8.5","74.5","7.6","13.5","5.8","12.0","5.9","528","127","49.8","13.1","39.8","12.5","10.0","8.4","50.2","13.1","41.9","12.5","8.3","8.1","24.5","(X)","23.8","(X)","26.1","(X)","67727","9365","65378","6980","83500","39948","-","**","101797","36277","-","**","56708","28176","76000","18204","54979","15126","66860","7325","21731","43605","86438","20455","70114","22345","60313","26936","68864","16441","72000","37239","65608","18667","92458","13798","57094","9423","53359","7467","65213","18577","35375","19863","35250","11317","75125","122242","66676","4961","65505","6458","112115","33545","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1861, Los Angeles County, California"
"1400000US06037186201","1158","69","42.6","12.9","2.7","4.9","0.0","3.4","35.6","8.6","0.0","3.4","15.7","11.0","3.5","3.7","50.4","14.4","17.6","7.7","10.3","9.0","29.5","12.1","42.7","9.9","17.4","8.6","830","129","50.6","10.1","49.4","10.1","54.7","14.4","24.0","15.7","21.3","13.6","328","126","54.3","17.1","50.9","17.3","3.4","5.7","45.7","17.1","43.6","16.6","2.1","4.1","19.4","(X)","17.3","(X)","17.1","(X)","46667","17603","47292","25622","-","**","-","**","43077","29186","-","**","108929","43795","58696","19127","50250","23548","45313","52369","63250","65159","85714","47385","43519","18575","20887","15122","51250","16096","27176","76990","52500","9701","76929","38061","28669","44729","26088","4391","25000","4604","25982","15770","25491","16258","-","**","24276","7390","24046","7003","-","**","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1862.01, Los Angeles County, California"
"1400000US06037186202","580","115","39.0","13.3","9.8","10.0","0.0","6.7","31.9","14.1","0.0","6.7","12.1","13.2","7.2","8.2","30.9","16.0","27.4","13.2","0.0","6.7","35.0","13.9","38.3","13.3","26.7","13.3","387","96","40.8","18.6","59.2","18.6","70.3","17.6","24.3","16.3","5.4","8.3","193","119","46.1","27.9","39.9","26.5","6.2","11.4","53.9","27.9","53.9","27.9","0.0","18.6","29.3","(X)","26.9","(X)","34.2","(X)","63750","29268","39559","9650","43343","23983","-","**","100150","60454","-","**","75750","108571","182717","82064","76708","37302","37721","19402","-","**","75229","63584","88333","56503","36369","28200","76039","18473","76300","16505","75417","47455","76400","21098","38500","144927","-","**","41938","22911","41313","235434","40563","122492","-","**","42791","32238","42791","32238","-","**","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1862.02, Los Angeles County, California"
"1400000US06037186203","1119","15","73.7","8.3","0.0","3.5","0.0","3.5","13.1","6.0","0.0","3.5","9.5","5.3","3.7","4.4","52.1","8.6","33.2","7.1","1.3","2.2","34.7","7.4","41.8","7.8","22.2","4.9","759","110","40.8","11.6","59.2","11.6","65.5","12.0","21.2","9.7","13.3","9.5","360","108","49.7","18.2","40.3","17.0","9.4","9.9","50.3","18.2","40.3","18.7","10.0","9.8","27.2","(X)","30.6","(X)","20.0","(X)","83456","19750","87422","17075","-","**","-","**","91283","15290","-","**","56094","21505","48958","109804","68911","24884","91250","30805","-","**","87344","25546","91250","9263","47000","28460","79784","24217","91429","7748","57109","22917","79957","26876","71484","41536","83162","52401","71140","9242","70592","32330","59485","63385","72361","29579","74583","61073","66583","69975","130357","103624","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1862.03, Los Angeles County, California"
"1400000US06037186301","915","46","53.0","11.8","4.4","4.3","1.3","2.0","16.2","8.2","0.0","4.3","23.9","9.3","1.2","2.0","61.4","8.9","19.0","8.1","6.0","5.7","53.0","8.1","31.5","6.9","9.5","3.9","694","75","63.0","10.4","37.0","10.4","66.4","11.9","20.2","12.4","13.4","9.4","221","79","38.5","19.5","27.1","17.5","11.3","11.0","61.5","19.5","37.6","24.5","24.0","20.0","43.8","(X)","43.5","(X)","44.8","(X)","50923","9804","51536","7085","102500","108925","-","**","90917","81476","-","**","45128","22467","-","**","45633","13973","52429","25598","30737","12508","47023","10694","72778","29678","62361","177517","47061","13716","34368","11231","72708","52648","56250","27084","31538","10619","34875","42028","50607","8649","47083","67540","28864","78495","88472","58868","50714","15419","24904","48234","63250","2171","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1863.01, Los Angeles County, California"
"1400000US06037186302","1780","92","52.2","7.9","1.8","2.2","0.6","1.0","15.6","4.2","0.0","2.2","27.5","8.2","2.2","2.3","49.5","7.8","33.1","6.3","0.7","1.2","43.9","7.3","42.9","7.4","12.5","3.3","1242","141","54.4","9.0","45.6","9.0","77.7","8.7","14.9","7.8","7.4","6.6","538","137","40.3","15.3","29.9","14.3","10.4","8.2","59.7","15.3","46.5","17.4","13.2","11.2","27.3","(X)","31.7","(X)","17.1","(X)","74775","5512","78684","22240","72647","51023","-","**","74911","76663","-","**","66429","26833","84583","84915","54821","23594","118125","49363","-","**","76487","14656","74360","25430","42188","62654","79211","16393","73051","22789","103636","15579","94432","26211","18609","6748","87500","95535","65542","9130","33173","29976","32083","14297","158000","235679","67255","18483","67065","12097","120365","131382","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1863.02, Los Angeles County, California"
"1400000US06037186401","982","56","38.7","9.8","2.7","2.3","0.9","1.5","12.0","4.7","0.0","4.0","42.6","8.5","3.1","3.9","75.4","6.8","7.6","5.4","5.1","4.0","51.7","8.3","33.5","7.4","9.7","3.9","808","80","72.9","10.2","27.1","10.2","66.2","10.7","15.8","7.8","17.9","8.6","174","70","33.3","23.6","19.0","15.1","14.4","20.0","66.7","23.6","66.7","23.6","0.0","20.4","33.4","(X)","36.9","(X)","17.2","(X)","33382","7906","25793","6539","52679","74534","-","**","52768","57521","-","**","37500","23122","44375","2259","32647","6616","19345","36356","19833","42937","31000","12237","53722","8943","12052","2810","42875","15833","30085","5816","82721","42145","47569","15847","30789","31810","26908","53691","21705","6059","18333","36848","11359","788","48580","891","22500","6006","22500","6006","-","**","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1864.01, Los Angeles County, California"
"1400000US06037186403","827","51","49.2","10.7","2.5","4.1","0.8","1.2","17.8","8.4","0.0","4.7","24.8","8.6","4.8","4.2","61.7","7.8","13.3","7.1","0.0","4.7","42.9","9.5","33.3","10.0","23.8","7.5","679","80","43.0","12.0","57.0","12.0","68.5","10.9","20.3","10.1","11.2","6.7","148","71","58.8","26.8","58.8","26.8","0.0","23.4","41.2","26.8","36.5","26.9","4.7","7.0","42.7","(X)","41.5","(X)","34.5","(X)","49353","10802","65529","20484","-","**","-","**","53224","56826","-","**","43711","6107","60000","34303","49118","16511","50938","48828","-","**","48233","16795","56652","22739","44570","25208","54671","13825","39750","6970","67785","23626","68359","18921","39706","16755","53289","11767","24911","15561","22938","17773","22938","17773","-","**","31563","60861","32292","76299","-","**","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1864.03, Los Angeles County, California"
"1400000US06037186404","672","48","47.6","11.8","0.0","5.8","0.0","5.8","13.2","8.4","0.0","5.8","37.6","11.1","1.5","2.4","77.5","10.0","9.2","6.8","6.0","5.6","24.6","10.0","46.9","12.2","22.6","10.9","507","82","52.9","13.8","47.1","13.8","76.1","13.3","16.2","11.3","7.7","7.2","165","70","46.7","26.6","20.6","21.6","26.1","26.0","53.3","26.6","36.4","20.8","17.0","15.8","38.4","(X)","46.9","(X)","12.1","(X)","48250","26056","39500","22650","-","**","-","**","70050","18730","-","**","39489","65434","-","**","45188","26185","29250","34936","37727","14230","73813","34326","60313","29610","20500","24267","58750","25588","56667","32474","60426","34383","60625","31096","39886","24436","70063","37674","29625","26119","16927","164270","16771","126690","107663","191354","31111","18891","26250","15302","46250","53176","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1864.04, Los Angeles County, California"
"1400000US06037187101","1306","37","63.9","8.1","1.5","2.2","0.0","3.0","20.7","5.4","0.0","3.0","13.2","5.2","0.8","1.4","42.4","7.9","35.5","9.2","1.8","2.6","35.0","7.9","42.0","8.2","21.1","5.4","682","144","29.6","11.2","70.4","11.2","78.2","11.0","16.0","9.4","5.9","5.6","624","139","51.4","15.1","38.5","15.0","13.0","7.7","48.6","15.1","27.2","13.8","21.3","12.7","26.3","(X)","27.1","(X)","25.3","(X)","55391","15965","55781","21380","-","**","-","**","87353","11813","-","**","28125","11373","-","**","28684","9048","72463","10017","-","**","71620","27369","73359","24891","22500","7746","62768","16642","66250","36678","57109","18776","68403","17957","55352","29979","44167","32565","39405","38507","25066","28387","22012","7078","71438","3830","71875","55150","42679","35204","141827","59136","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1871.01, Los Angeles County, California"
"1400000US06037187102","1028","111","56.6","12.3","0.0","3.8","0.0","3.8","22.0","8.8","1.8","2.4","19.6","10.1","0.0","3.8","56.9","12.6","19.4","8.5","0.0","3.8","45.7","10.6","40.2","11.6","14.1","6.3","797","123","44.7","12.2","55.3","12.2","73.3","12.8","22.7","12.0","4.0","4.7","231","90","34.6","26.7","23.8","22.2","10.8","14.9","65.4","26.7","55.4","28.8","10.0","16.1","42.2","(X)","46.3","(X)","28.1","(X)","45781","12995","43135","15580","-","**","-","**","58750","69596","-","**","55179","38790","-","**","43504","12521","36125","39625","-","**","43532","13205","63536","26511","35950","23743","50625","16559","44286","14223","56339","18716","46406","13491","32337","67302","83095","20073","36577","11315","43594","23519","34141","31870","103264","47111","36161","23148","35476","10941","71369","26312","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1871.02, Los Angeles County, California"
"1400000US06037187200","864","73","51.5","10.0","2.4","3.8","0.8","1.4","13.3","3.5","0.0","4.5","29.6","9.9","2.3","2.0","69.2","6.9","11.9","5.1","1.2","1.8","41.9","9.9","45.6","9.9","11.3","6.4","675","95","60.1","11.4","39.9","11.4","64.4","11.0","24.4","10.5","11.1","8.7","189","74","46.6","25.8","46.6","25.8","0.0","19.0","53.4","25.8","37.6","25.2","15.9","17.3","35.9","(X)","34.2","(X)","36.5","(X)","45455","7256","45239","9180","-","**","-","**","70972","29953","-","**","41667","16513","107727","64785","42941","7922","42232","48220","2,500-","***","46111","19854","41983","13888","47778","38293","46568","5878","43382","9510","50163","9541","50417","12489","45436","26177","50625","69129","17269","13173","13500","5179","13500","5179","-","**","61313","51950","21938","74948","61875","67150","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1872, Los Angeles County, California"
"1400000US06037187300","1552","75","71.3","5.8","2.0","2.0","1.2","1.8","14.2","4.0","0.6","1.0","7.0","3.3","3.7","3.2","21.8","5.3","56.4","6.0","3.4","4.0","51.4","6.5","33.5","4.6","11.7","3.2","712","119","41.9","9.4","58.1","9.4","70.6","9.5","23.6","8.2","5.8","5.5","840","141","49.8","10.8","29.9","8.6","19.9","9.5","50.2","10.8","25.7","9.4","24.5","9.0","22.8","(X)","25.4","(X)","20.6","(X)","74135","10415","73241","21322","111339","54431","-","**","71397","18762","-","**","79000","74178","65625","110656","82404","56561","72183","18158","95000","170822","94318","34826","71739","17269","26250","33536","84091","23256","81923","26639","95139","32031","102083","30964","48654","12581","94886","308867","68173","10279","50313","18370","45139","18351","56875","73929","98750","55630","71081","27487","101894","18013","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1873, Los Angeles County, California"
"1400000US06037188100","1813","80","62.0","8.2","2.4","2.9","0.6","0.9","14.1","5.6","0.0","2.2","18.8","6.1","2.2","1.9","46.3","6.8","37.2","7.0","4.9","4.0","42.5","6.6","41.1","7.6","11.5","4.8","785","148","32.1","13.0","67.9","13.0","59.7","12.4","25.4","10.8","14.9","11.9","1028","155","42.1","11.2","34.3","11.0","7.8","5.4","57.9","11.2","30.5","9.6","27.3","11.7","25.9","(X)","25.6","(X)","26.2","(X)","45759","7344","40852","12671","2,500-","***","-","**","64934","41999","-","**","57388","13255","105063","96711","43011","14554","43715","4909","22670","29503","50750","14164","56328","14399","17419","12031","56597","14513","43015","18173","58536","13784","59453","30706","13988","35264","56953","9356","43099","10122","39861","23462","29219","24956","51875","151682","43588","9070","23698","18487","47438","39710","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1881, Los Angeles County, California"
"1400000US06037188201","1963","84","56.0","9.0","4.6","4.5","0.0","2.0","21.0","8.0","1.7","2.7","16.0","8.4","0.7","1.1","21.7","9.6","48.3","8.7","5.8","4.1","60.6","9.1","24.7","7.4","8.9","3.2","583","158","44.1","13.7","55.9","13.7","77.4","13.3","10.6","9.5","12.0","10.7","1380","166","40.8","12.6","34.8","12.3","6.0","3.7","59.2","12.6","52.2","13.1","7.0","4.5","13.5","(X)","7.5","(X)","16.0","(X)","65859","14695","59792","20425","52896","49309","-","**","71852","7259","-","**","72219","50056","-","**","57986","50979","75245","38444","21154","15441","76747","10266","52266","23616","20313","10410","76774","28928","130087","88377","71625","9014","94960","38689","75563","59727","64167","5343","51875","16214","41678","17798","42171","20486","38438","26802","70116","26675","63750","28588","94063","57444","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1882.01, Los Angeles County, California"
"1400000US06037188202","1108","105","69.0","9.0","6.6","6.6","0.0","3.5","14.5","6.2","0.0","3.5","2.3","3.0","7.5","7.6","6.4","4.9","65.0","9.4","3.2","3.6","44.9","8.1","33.7","6.5","18.2","5.0","631","120","46.4","12.4","53.6","12.4","83.5","9.8","10.9","9.4","5.5","6.3","477","127","33.5","12.8","29.8","12.6","3.8","4.9","66.5","12.8","46.8","14.9","19.7","9.9","20.4","(X)","27.6","(X)","10.9","(X)","100325","16719","106382","25545","2,500-","***","-","**","92216","37045","-","**","117679","109906","52413","485854","118482","200218","105789","21682","30000","56691","92330","41909","141639","65503","82679","19872","141417","55010","198620","38538","106842","30136","140972","49080","230344","293516","208021","303252","55982","12706","50972","10631","50556","19420","61875","311785","69508","9042","68313","46516","70515","6743","(X)","(X)","(X)","(X)","(X)","(X)","Census Tract 1882.02, Los Angeles County, California"
